Group,Question,Response,value,Region II,Region III,Region IV,Region V,Region VI,Region VII,Region VIII,Total
Equality,Experience of unfair treatment,For participation in projects in the community,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00
Equality,Experience of unfair treatment,"Other, specify",0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01
Equality,Experience of unfair treatment,No response,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.01
Equality,Perception of equality (% agree),"Everyone has equal access to health services regardless of ethnicity, tribal identity, religion, or other factor",0.60,0.78,0.67,0.79,0.78,0.71,0.75,0.71,0.71
Equality,Perception of equality (% agree),"Everyone has equal access to education services regardless of ethnicity, tribal identity, religion, or other factor",0.67,0.80,0.75,0.84,0.83,0.76,0.79,0.81,0.76
Equality,Perception of equality (% agree),"Everyone has equal rights to land ownership regardless of ethnicity, tribal identity, religion, or other factor",0.74,0.89,0.73,0.82,0.85,0.80,0.82,0.82,0.80
Equality,Perception of equality (% agree),Everyone has equal rights to land ownership regardless of gender,0.82,0.91,0.83,0.86,0.89,0.86,0.89,0.88,0.86
Equality,Perception of equality (% agree),"Everyone has equal access to justice regardless of ethnicity, tribal identity, religion, or other factor",0.68,0.86,0.76,0.78,0.79,0.76,0.76,0.81,0.76
Equality,Perception of equality (% agree),Everyone has equal access to justice regardless of gender,0.70,0.86,0.77,0.78,0.80,0.80,0.83,0.81,0.78
Equality,Perception of equality (% agree),"Everyone has equal access to public administration services, regardless of ethnicity, tribal identity, religion, or other factor",0.66,0.82,0.68,0.74,0.80,0.71,0.71,0.74,0.72
Equality,Perception of equality (% agree),People should be treated the same whether or not they go to church,0.96,0.97,0.95,0.95,0.96,0.97,0.96,0.95,0.96
Social relations and trust,"Problems related to customs, traditions or religious beliefs",None,0.79,0.78,0.73,0.75,0.79,0.78,0.78,0.78,0.78
Social relations and trust,"Problems related to customs, traditions or religious beliefs",People of different ethnic groups do not get along,0.09,0.09,0.10,0.09,0.09,0.07,0.07,0.07,0.08
Social relations and trust,"Problems related to customs, traditions or religious beliefs",People of different religious backgrounds are not welcomed into the community,0.13,0.13,0.20,0.17,0.13,0.13,0.15,0.16,0.14
Social relations and trust,"Problems related to customs, traditions or religious beliefs",People of different ethnic groups do not interact,0.03,0.03,0.06,0.04,0.03,0.04,0.03,0.04,0.03
Social relations and trust,"Problems related to customs, traditions or religious beliefs",Criticims/Discrimination/Anger/Envy,0.00,0.01,0.01,0.01,0.01,0.02,0.01,0.00,0.01
Social relations and trust,"Problems related to customs, traditions or religious beliefs",Different political beliefs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
Social relations and trust,"Problems related to customs, traditions or religious beliefs",Other,0.01,0.02,0.01,0.01,0.00,0.01,0.00,0.01,0.01
Social relations and trust,Frequency of interaction with other cultural or religious groups,% rarely - never,0.21,0.23,0.28,0.18,0.17,0.22,0.19,0.29,0.21
Social relations and trust,Group distance (% comfortable),Living in the same neighborhood or municipality,0.82,0.75,0.84,0.79,0.85,0.77,0.74,0.79,0.79
Social relations and trust,Group distance (% comfortable),Living in the same house,0.61,0.51,0.68,0.60,0.61,0.48,0.55,0.51,0.56
Social relations and trust,Group distance (% comfortable),Sharing food,0.86,0.71,0.87,0.84,0.86,0.79,0.75,0.80,0.81
Social relations and trust,Group distance (% comfortable),Working together,0.86,0.81,0.90,0.88,0.91,0.83,0.80,0.82,0.85
Social relations and trust,Group distance (% comfortable),Going to the same market,0.90,0.83,0.91,0.91,0.93,0.88,0.84,0.85,0.88
Social relations and trust,Group distance (% comfortable),Drinking together,0.65,0.44,0.54,0.50,0.60,0.57,0.52,0.66,0.57
Social relations and trust,Group distance (% comfortable),Going to the same church,0.81,0.81,0.80,0.86,0.81,0.80,0.74,0.83,0.80
Social relations and trust,Group distance (% comfortable),Would you feel alright if someone from another culture or religion married someone in your home?,0.66,0.61,0.66,0.58,0.69,0.63,0.69,0.46,0.64
Social relations and trust,Group distance (% comfortable),Going to the same school as your children,0.90,0.77,0.86,0.86,0.88,0.81,0.86,0.82,0.85
Social relations and trust,Trust (% little - none),The police,0.59,0.57,0.57,0.49,0.50,0.57,0.47,0.60,0.55
Social relations and trust,Trust (% little - none),Media,0.26,0.23,0.27,0.23,0.26,0.26,0.21,0.29,0.25
Social relations and trust,Trust (% little - none),The Military,0.32,0.46,0.44,0.34,0.37,0.36,0.27,0.31,0.35
Social relations and trust,Trust (% little - none),City / Municipality Government,0.47,0.55,0.53,0.45,0.42,0.45,0.42,0.50,0.46
Social relations and trust,Trust (% little - none),Departmental government,0.61,0.65,0.66,0.59,0.56,0.57,0.54,0.70,0.59
Social relations and trust,Trust (% little - none),National government,0.77,0.76,0.77,0.68,0.70,0.74,0.68,0.85,0.74
Social relations and trust,Trust (% little - none),Cocodes,0.31,0.28,0.32,0.32,0.22,0.30,0.23,0.33,0.28
Social relations and trust,Trust (% little - none),The Insitution for Human Rights in Guatemala,0.37,0.43,0.48,0.39,0.32,0.31,0.26,0.42,0.35
Social relations and trust,Trust (% little - none),Indienous Authority,0.30,0.27,0.38,0.31,0.20,0.24,0.13,0.38,0.26
Social relations and trust,Trust (% little - none),The Catholic Church,0.09,0.04,0.09,0.06,0.06,0.09,0.05,0.10,0.07
Social relations and trust,Trust (% little - none),Schools,0.12,0.08,0.07,0.06,0.09,0.10,0.09,0.15,0.10
Social relations and trust,Trust (% little - none),Judges in Guatemala,0.39,0.39,0.47,0.36,0.36,0.41,0.29,0.47,0.38
Social relations and trust,Trust (% little - none),Justice in general in Guatemala,0.49,0.52,0.54,0.44,0.45,0.51,0.38,0.58,0.48
Social relations and trust,Trust (% little - none),Neighborhood Patrol (community Patrol),0.28,0.33,0.31,0.32,0.21,0.28,0.19,0.36,0.27
Social relations and trust,Trust (% little - none),Business owners,0.44,0.54,0.59,0.54,0.45,0.48,0.41,0.54,0.48
Social relations and trust,Perception of trust (% agree),"In this neighborhood/municipality, people don't trust each other",0.49,0.40,0.46,0.39,0.45,0.46,0.41,0.45,0.45
Social relations and trust,Perception of trust (% agree),"In this neighborhood/municipality, most people are ready to help each other if needed",0.69,0.73,0.66,0.79,0.80,0.74,0.70,0.69,0.72
Governance,Contact with authorities,None,0.82,0.82,0.86,0.78,0.75,0.81,0.79,0.80,0.81
Governance,Contact with authorities,Mayor,0.12,0.11,0.10,0.15,0.17,0.13,0.12,0.12,0.13
Governance,Contact with authorities,Governor,0.03,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02
Governance,Contact with authorities,Local community autorities,0.05,0.07,0.04,0.06,0.08,0.05,0.07,0.05,0.06
Governance,Contact with authorities,Courts (Judges),0.00,0.01,0.00,0.01,0.01,0.01,0.02,0.02,0.01
Governance,Contact with authorities,The police,0.01,0.01,0.01,0.00,0.00,0.01,0.02,0.01,0.01
Governance,Contact with authorities,Military,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Governance,Contact with authorities,RENAP (National registry of persons),0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00
Governance,Contact with authorities,Other national ministries,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.01
Governance,Contact with authorities,"Other, specify",0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00
Governance,Reason for contact,No contact,0.82,0.82,0.86,0.78,0.75,0.81,0.79,0.80,0.81
Governance,Reason for contact,A formal request,0.12,0.12,0.11,0.17,0.18,0.14,0.15,0.12,0.14
Governance,Reason for contact,Seeking help or intervention,0.05,0.07,0.04,0.06,0.06,0.05,0.07,0.07,0.05
Governance,Reason for contact,For work,0.01,0.00,0.01,0.01,0.01,0.01,0.02,0.01,0.01
Governance,Reason for contact,Friendship/Informal visit,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00
Governance,Reason for contact,"Other, specify",0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Governance,Work in your best interesdt (% little - not at all),The president,0.82,0.84,0.85,0.74,0.83,0.80,0.75,0.82,0.80
Governance,Work in your best interesdt (% little - not at all),Congress,0.87,0.85,0.86,0.80,0.85,0.86,0.79,0.88,0.85
Governance,Work in your best interesdt (% little - not at all),Other nationally elected officials,0.86,0.84,0.86,0.79,0.81,0.82,0.76,0.86,0.83
Governance,Work in your best interesdt (% little - not at all),The department authorities,0.82,0.80,0.83,0.75,0.80,0.76,0.70,0.84,0.78
Governance,Work in your best interesdt (% little - not at all),The municipality authorities,0.56,0.53,0.54,0.49,0.50,0.54,0.50,0.59,0.53
Governance,Work in your best interesdt (% little - not at all),The police,0.67,0.64,0.62,0.55,0.68,0.60,0.49,0.67,0.61
Governance,Work in your best interesdt (% little - not at all),The Military,0.52,0.65,0.61,0.49,0.60,0.51,0.47,0.56,0.54
Governance,Work in your best interesdt (% little - not at all),Indigenous Authority,0.42,0.43,0.49,0.37,0.37,0.36,0.27,0.47,0.38
Governance,Work in your best interesdt (% little - not at all),Judges in Guatemala,0.60,0.60,0.64,0.53,0.67,0.56,0.41,0.63,0.57
Governance,Performance of government (% bad - very bad),Fighting Corruption,0.70,0.67,0.67,0.63,0.62,0.63,0.62,0.64,0.65
Governance,Performance of government (% bad - very bad),Reducing Poverty,0.80,0.74,0.76,0.74,0.76,0.74,0.75,0.78,0.76
Governance,Performance of government (% bad - very bad),Increasing Employment,0.82,0.74,0.80,0.76,0.80,0.78,0.78,0.83,0.79
Governance,Performance of government (% bad - very bad),The resolution of the conflicts,0.74,0.70,0.70,0.70,0.71,0.70,0.75,0.69,0.72
Governance,Performance of government (% bad - very bad),Reducing crimes,0.78,0.74,0.77,0.74,0.74,0.74,0.73,0.76,0.75
Governance,Performance of government (% bad - very bad),Guarantees justice?,0.66,0.67,0.69,0.61,0.71,0.69,0.70,0.70,0.68
Governance,Performance of government (% bad - very bad),Helping the population,0.66,0.66,0.71,0.55,0.73,0.68,0.70,0.75,0.68
Governance,Governance perception (% agree),Municipality leaders sometimes fuel conflicts,0.66,0.42,0.53,0.45,0.50,0.56,0.53,0.57,0.55
Governance,Governance perception (% agree),Nationally elected leaders sometimes fuel conflicts,0.75,0.75,0.72,0.71,0.65,0.75,0.73,0.71,0.73
Governance,Governance perception (% agree),The Church sometimes fuels conflicts,0.30,0.15,0.23,0.25,0.19,0.26,0.21,0.24,0.24
Governance,Governance perception (% agree),People should not protest when leaders make decision they disagree with,0.25,0.28,0.31,0.26,0.27,0.29,0.33,0.27,0.28
Governance,Governance perception (% agree),Politicians from all parties have the opportunity to debate policies,0.83,0.80,0.85,0.79,0.85,0.81,0.74,0.86,0.81
Governance,Governance perception (% agree),Having politicians with diverging ideas / opinions is good for the country,0.80,0.73,0.73,0.74,0.81,0.77,0.74,0.81,0.77
Governance,Governance perception (% agree),Opposition politicians are only trying to create conflicts,0.54,0.54,0.59,0.59,0.57,0.63,0.53,0.61,0.57
Governance,Governance perception (% agree),"In this country, corruption is widespread in the government",0.88,0.90,0.90,0.87,0.92,0.90,0.94,0.92,0.90
Elections,Registered to vote?,% yes,0.90,0.87,0.89,0.90,0.90,0.91,0.87,0.89,0.89
Elections,"If not, why not?",Did not know how to register,0.07,0.00,0.13,0.07,0.20,0.07,0.10,0.06,0.09
Elections,"If not, why not?",I don't care about politics,0.15,0.26,0.29,0.25,0.21,0.12,0.39,0.24,0.23
Elections,"If not, why not?",I don't trust politicians,0.07,0.20,0.13,0.07,0.07,0.11,0.04,0.00,0.09
Elections,"If not, why not?",I was prevented to register,0.07,0.17,0.13,0.18,0.10,0.14,0.03,0.17,0.11
Elections,"If not, why not?",Sickness/disability,0.15,0.17,0.13,0.07,0.02,0.10,0.00,0.17,0.10
Elections,"If not, why not?",I was scared,0.07,0.00,0.03,0.04,0.00,0.00,0.00,0.06,0.02
Elections,"If not, why not?",I did not understand what it is,0.00,0.00,0.03,0.07,0.02,0.02,0.00,0.00,0.02
Elections,"If not, why not?",Influenced by someone,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00
Elections,"If not, why not?",I was travelling,0.19,0.21,0.07,0.18,0.24,0.12,0.03,0.17,0.14
Elections,"If not, why not?",Too far from registration,0.15,0.00,0.06,0.04,0.00,0.07,0.00,0.00,0.05
Elections,"If not, why not?",Too young,0.00,0.00,0.00,0.04,0.05,0.06,0.00,0.00,0.02
Elections,"If not, why not?",working/no time,0.04,0.09,0.06,0.07,0.02,0.09,0.22,0.11,0.09
Elections,"If not, why not?",lost documents/cannot register (foreign),0.22,0.11,0.13,0.14,0.10,0.15,0.19,0.17,0.16
Elections,"If not, why not?","Other, specify",0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.06,0.00
Elections,"If not, why not?",No response,0.00,0.00,0.03,0.00,0.00,0.02,0.00,0.06,0.01
Elections,Voted last national elections?,% yes,0.79,0.80,0.81,0.82,0.83,0.82,0.77,0.79,0.80
Elections,"If not, why not?",Not registered,0.51,0.65,0.54,0.55,0.58,0.53,0.56,0.50,0.55
Elections,"If not, why not?",Did not know how to vote,0.00,0.03,0.02,0.02,0.00,0.01,0.02,0.03,0.01
Elections,"If not, why not?",I don't care about politics,0.09,0.00,0.02,0.06,0.00,0.04,0.04,0.03,0.04
Elections,"If not, why not?",I don't trust politicians,0.08,0.01,0.07,0.08,0.06,0.04,0.06,0.08,0.06
Elections,"If not, why not?",I was prevented to vote,0.02,0.04,0.04,0.10,0.07,0.02,0.09,0.03,0.05
Elections,"If not, why not?",Sickness/disability,0.08,0.11,0.11,0.10,0.08,0.12,0.13,0.17,0.11
Elections,"If not, why not?",I was scared,0.00,0.00,0.02,0.00,0.06,0.01,0.00,0.03,0.01
Elections,"If not, why not?",I did not understand what it is,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00
Elections,"If not, why not?",Influenced by someone,0.04,0.00,0.00,0.00,0.01,0.01,0.00,0.03,0.01
Elections,"If not, why not?",I was travelling,0.09,0.00,0.05,0.02,0.03,0.05,0.02,0.00,0.04
Elections,"If not, why not?",Too far from polling station,0.06,0.06,0.05,0.06,0.07,0.06,0.03,0.03,0.05
Elections,"If not, why not?",Too young,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.00
Elections,"If not, why not?",working/no time,0.00,0.00,0.04,0.06,0.03,0.04,0.00,0.06,0.02
Elections,"If not, why not?",lost documents/cannot register (foreign),0.08,0.08,0.07,0.06,0.07,0.07,0.06,0.11,0.07
Elections,"If not, why not?","Other, specify",0.00,0.00,0.02,0.00,0.00,0.03,0.03,0.00,0.01
Elections,Vote next elections?,% yes,0.80,0.81,0.82,0.83,0.83,0.83,0.76,0.82,0.81
Elections,"If not, why not?",Not registered,0.63,0.76,0.70,0.74,0.76,0.70,0.72,0.75,0.70
Elections,"If not, why not?",Do not know how to vote,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.04,0.00
Elections,"If not, why not?",Forgot to register,0.02,0.00,0.02,0.03,0.02,0.01,0.02,0.04,0.02
Elections,"If not, why not?",No electoral card,0.02,0.03,0.05,0.00,0.02,0.04,0.05,0.00,0.03
Elections,"If not, why not?",I don't care about politics,0.12,0.08,0.05,0.05,0.00,0.05,0.00,0.04,0.05
Elections,"If not, why not?",I don't trust politicians,0.16,0.11,0.12,0.05,0.15,0.10,0.07,0.13,0.11
Elections,"If not, why not?",I am prevented from voting,0.00,0.06,0.05,0.08,0.02,0.02,0.05,0.00,0.03
Elections,"If not, why not?",Sickness/disability,0.00,0.00,0.02,0.00,0.00,0.05,0.05,0.08,0.02
Elections,"If not, why not?",I am scared,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Elections,"If not, why not?",Influenced by someone,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Elections,"If not, why not?",I am travelling,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Elections,"If not, why not?",Too far from polling station,0.09,0.00,0.00,0.05,0.02,0.06,0.02,0.04,0.05
Elections,"If not, why not?",I don't know,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00
Elections,"If not, why not?","Other, specify",0.00,0.00,0.00,0.03,0.00,0.02,0.00,0.00,0.01
Elections,"If not, why not?",No response,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
Resilience,Control (% little - none),K03. Choosing what you want to do with your life,0.03,0.06,0.06,0.05,0.04,0.08,0.05,0.04,0.05
Resilience,Control (% little - none),K04. Your life in general,0.03,0.05,0.06,0.07,0.03,0.07,0.05,0.04,0.05
Resilience,Control (% little - none),K05. Your security,0.10,0.14,0.18,0.17,0.11,0.17,0.08,0.07,0.13
Resilience,Control (% little - none),K06. Decisions made in the community by the leaders,0.75,0.81,0.70,0.74,0.67,0.76,0.71,0.80,0.74
Resilience,Control (% little - none),K07. Decisions made by deparmtent authorities,0.95,0.95,0.89,0.92,0.90,0.93,0.95,0.95,0.93
Resilience,Control (% little - none),K08. Las decisiones de la alcaldÃ­a,0.91,0.92,0.84,0.91,0.87,0.89,0.93,0.93,0.90
Resilience,Control (% little - none),K09. National policies,0.97,0.95,0.91,0.94,0.92,0.94,0.94,0.96,0.94
Resilience,Resilience (% true),You are able to adapt to change,0.62,0.48,0.49,0.58,0.56,0.51,0.40,0.74,0.53
Resilience,Resilience (% true),You can deal with whatever comes,0.52,0.39,0.45,0.52,0.50,0.48,0.35,0.59,0.47
Resilience,Resilience (% true),You see the humorous side of things,0.44,0.44,0.47,0.49,0.46,0.43,0.36,0.35,0.43
Resilience,Resilience (% true),Coping with stress strengthens you,0.70,0.56,0.59,0.64,0.61,0.59,0.53,0.62,0.61
Resilience,Resilience (% true),You bounce back after illness or hardship,0.49,0.50,0.44,0.52,0.48,0.49,0.38,0.51,0.47
Resilience,Resilience (% true),You feel you can achieve your goals,0.65,0.53,0.54,0.61,0.61,0.60,0.57,0.67,0.60
Resilience,Resilience (% true),"Under pressure, you focus and think clearly",0.46,0.43,0.36,0.45,0.39,0.46,0.35,0.44,0.42
Resilience,Resilience (% true),You are not easily discouraged by failure,0.50,0.46,0.33,0.47,0.42,0.45,0.37,0.50,0.44
Resilience,Resilience (% true),You consider yourself a person of strong character,0.51,0.51,0.56,0.51,0.51,0.50,0.38,0.54,0.49
Resilience,Resilience (% true),You can handle unpleasant feelings,0.57,0.41,0.42,0.57,0.50,0.52,0.43,0.53,0.50
Services,Main roles of the state,To provide security,0.38,0.39,0.47,0.41,0.37,0.33,0.33,0.38,0.37
Services,Main roles of the state,To provide health services,0.50,0.43,0.49,0.44,0.47,0.39,0.44,0.33,0.44
Services,Main roles of the state,To provide acess to education,0.43,0.31,0.48,0.39,0.51,0.37,0.44,0.31,0.41
Services,Main roles of the state,To take care of infrastructure such as roadways,0.22,0.17,0.24,0.12,0.25,0.15,0.17,0.09,0.18
Services,Main roles of the state,To provide justice,0.12,0.15,0.22,0.13,0.14,0.09,0.08,0.12,0.12
Services,Main roles of the state,Promote work / help the economy,0.32,0.23,0.24,0.18,0.32,0.20,0.23,0.22,0.25
Services,Main roles of the state,Promote peace,0.08,0.14,0.17,0.06,0.08,0.08,0.05,0.08,0.09
Services,Main roles of the state,Help the poor,0.23,0.28,0.31,0.28,0.30,0.27,0.26,0.24,0.27
Services,Main roles of the state,Help victims,0.07,0.06,0.12,0.06,0.04,0.03,0.04,0.04,0.05
Services,Main roles of the state,Nothing/Doesn't do anything/almost nothing,0.06,0.06,0.08,0.10,0.02,0.10,0.05,0.14,0.07
Services,Main roles of the state,Agricultural services,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.01
Services,Main roles of the state,Feed/end malnutrition,0.01,0.01,0.01,0.01,0.02,0.01,0.00,0.02,0.01
Services,Main roles of the state,End or fight corruption,0.02,0.03,0.01,0.03,0.02,0.03,0.02,0.01,0.02
Services,Main roles of the state,Address the needs of the elderly,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00
Services,Main roles of the state,Social programs,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01
Services,Main roles of the state,Steal from the country,0.01,0.01,0.01,0.00,0.00,0.01,0.02,0.01,0.01
Services,Main roles of the state,"Other, specify",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Services,Main roles of the state,No response,0.09,0.13,0.08,0.12,0.10,0.10,0.12,0.09,0.10
Services,Perception of services (% good - very good),Your housing,0.40,0.35,0.40,0.39,0.39,0.39,0.38,0.40,0.39
Services,Perception of services (% good - very good),Your access to water,0.45,0.47,0.40,0.40,0.39,0.42,0.40,0.44,0.42
Services,Perception of services (% good - very good),Your access to electricity,0.49,0.63,0.49,0.51,0.57,0.55,0.49,0.53,0.53
Services,Perception of services (% good - very good),Your access to food,0.56,0.44,0.54,0.50,0.56,0.50,0.53,0.55,0.53
Services,Perception of services (% good - very good),Your access to land for farming,0.28,0.18,0.27,0.27,0.27,0.24,0.28,0.25,0.26
Services,Perception of services (% good - very good),Access to education for you/children (School),0.59,0.51,0.63,0.64,0.65,0.60,0.52,0.55,0.59
Services,Perception of services (% good - very good),The quality of education for you / children,0.50,0.48,0.52,0.56,0.52,0.50,0.43,0.45,0.50
Services,Perception of services (% good - very good),Access to health services,0.36,0.24,0.29,0.34,0.28,0.33,0.26,0.28,0.31
Services,Perception of services (% good - very good),The quality of health services,0.24,0.17,0.22,0.24,0.25,0.22,0.16,0.25,0.22
Services,Perception of services (% good - very good),The roads and transportation in community,0.37,0.30,0.29,0.33,0.33,0.30,0.31,0.27,0.32
Services,Perception of services (% good - very good),Access to public adminsitrative services,0.27,0.23,0.16,0.29,0.18,0.22,0.18,0.18,0.22
Services,Perception of services (% good - very good),The quality of public adminsitrative services,0.26,0.24,0.16,0.27,0.17,0.21,0.19,0.18,0.21
Services,Perception of services (% good - very good),And how would you rank your overall quality of life?,0.58,0.55,0.49,0.55,0.59,0.47,0.53,0.54,0.53
Services,Change in services over last year,Better,0.21,0.23,0.20,0.24,0.18,0.15,0.21,0.18,0.19
Services,Change in services over last year,Same,0.67,0.64,0.61,0.59,0.61,0.64,0.68,0.66,0.64
Services,Change in services over last year,Worse,0.12,0.13,0.18,0.18,0.20,0.21,0.11,0.16,0.16
Services,Change in services in the next year,Better,0.39,0.40,0.37,0.34,0.35,0.33,0.31,0.28,0.35
Services,Change in services in the next year,Same,0.45,0.44,0.48,0.44,0.46,0.46,0.53,0.47,0.47
Services,Change in services in the next year,Worse,0.16,0.16,0.15,0.22,0.19,0.21,0.16,0.25,0.18
Services,Actors helping to improve life in your community,Myself,0.44,0.39,0.42,0.41,0.39,0.30,0.45,0.49,0.39
Services,Actors helping to improve life in your community,The church,0.05,0.04,0.05,0.05,0.06,0.04,0.02,0.03,0.04
Services,Actors helping to improve life in your community,La Escuela (los profesores),0.00,0.01,0.01,0.02,0.00,0.00,0.00,0.02,0.01
Services,Actors helping to improve life in your community,Individual leaders,0.11,0.12,0.12,0.07,0.09,0.08,0.09,0.08,0.09
Services,Actors helping to improve life in your community,Community elected organization,0.21,0.26,0.28,0.17,0.25,0.19,0.19,0.15,0.21
Services,Actors helping to improve life in your community,NGOs,0.03,0.03,0.01,0.01,0.04,0.03,0.04,0.01,0.03
Services,Actors helping to improve life in your community,City / Municipality Government,0.31,0.36,0.37,0.33,0.33,0.36,0.32,0.28,0.34
Services,Actors helping to improve life in your community,Departmental government,0.02,0.04,0.05,0.02,0.02,0.03,0.05,0.02,0.03
Services,Actors helping to improve life in your community,National government,0.04,0.09,0.07,0.05,0.05,0.04,0.04,0.06,0.05
Services,Actors helping to improve life in your community,Cocodes,0.08,0.10,0.09,0.09,0.06,0.11,0.10,0.05,0.09
Services,Actors helping to improve life in your community,Assistant Mayor,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.00
Services,Actors helping to improve life in your community,Nobody,0.05,0.03,0.05,0.04,0.09,0.12,0.08,0.07,0.07
Services,Actors helping to improve life in your community,God,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.01,0.00
Services,Actors helping to improve life in your community,Private Businesses/Business leaders,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00
Services,Actors helping to improve life in your community,Us/the entire community,0.02,0.02,0.02,0.05,0.01,0.02,0.02,0.01,0.02
Services,Actors helping to improve life in your community,"Other, specify",0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00
Services,Actors helping to improve life in your community,No response,0.04,0.07,0.03,0.05,0.05,0.04,0.04,0.03,0.04
Services,Actions of community in imporving life in community,Nothing,0.36,0.32,0.37,0.42,0.34,0.41,0.37,0.46,0.38
Services,Actions of community in imporving life in community,They organize,0.45,0.46,0.46,0.39,0.44,0.39,0.38,0.28,0.41
Services,Actions of community in imporving life in community,Protest,0.05,0.02,0.07,0.02,0.03,0.03,0.08,0.01,0.04
Services,Actions of community in imporving life in community,Organized meetings for dialogue,0.19,0.26,0.31,0.26,0.21,0.21,0.24,0.12,0.22
Services,Actions of community in imporving life in community,Ask for international support,0.00,0.03,0.04,0.02,0.05,0.02,0.03,0.01,0.02
Services,Actions of community in imporving life in community,Speak with NGOs,0.01,0.02,0.02,0.01,0.06,0.02,0.05,0.02,0.03
Services,Actions of community in imporving life in community,Speak with the media,0.01,0.03,0.02,0.00,0.02,0.01,0.01,0.00,0.01
Services,Actions of community in imporving life in community,close roads,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.01
Services,Actions of community in imporving life in community,initiated judicial processes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
Services,Actions of community in imporving life in community,Try to elect trustworthy individuals,0.05,0.05,0.05,0.04,0.02,0.02,0.03,0.04,0.03
Services,Actions of community in imporving life in community,Present official proposals for change to community authorities,0.10,0.06,0.08,0.08,0.13,0.07,0.12,0.06,0.09
Services,Actions of community in imporving life in community,Oranized using the internet as a platform,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
Services,Actions of community in imporving life in community,The community works on projects itself,0.02,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01
Services,Actions of community in imporving life in community,Organize educational/cultural activities,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00
Services,Actions of community in imporving life in community,"""Work""",0.07,0.02,0.02,0.04,0.03,0.03,0.04,0.11,0.04
Services,Actions of community in imporving life in community,"Other, specify",0.01,0.01,0.00,0.01,0.00,0.00,0.01,0.01,0.00
Services,Actions of community in imporving life in community,No response,0.02,0.10,0.03,0.03,0.05,0.05,0.08,0.05,0.05
Services,Actions of state actors in imporving life in community,Nothing,0.80,0.75,0.88,0.82,0.87,0.86,0.80,0.85,0.83
Services,Actions of state actors in imporving life in community,Remove corrupt leaders,0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.01
Services,Actions of state actors in imporving life in community,Create and act on policies to fight corruption,0.02,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01
Services,Actions of state actors in imporving life in community,Empty policies to fight corruption,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.02,0.01
Services,Actions of state actors in imporving life in community,Start a bureaucratic process with no result,0.07,0.07,0.03,0.04,0.03,0.02,0.02,0.02,0.04
Services,Actions of state actors in imporving life in community,Speak with public media,0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.01
Services,Actions of state actors in imporving life in community,Sometimes help/do something,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Services,Actions of state actors in imporving life in community,Almost nothing/little help,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01
Services,Actions of state actors in imporving life in community,Provide financial support,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.01,0.01
Services,Actions of state actors in imporving life in community,Bring in projects for basic services,0.01,0.01,0.01,0.02,0.00,0.01,0.01,0.01,0.01
