Group,Question,Response,Karamoja,Acholi,West Nile,South West,National,TOTAL,Unit,
Challenges in School,Absenteeism of teachers,Major,49%,31%,39%,51%,46%,46%,%,
Challenges in School,Absenteeism of teachers,Minor,15%,46%,29%,24%,31%,31%,%,
Challenges in School,Absenteeism of teachers,Not a problem,27%,22%,30%,24%,21%,21%,%,
Challenges in School,Absenteeism of teachers,Refuse / no response,10%,2%,2%,2%,3%,3%,%,
Challenges in School,Poor evaluation or grading of students,Major,44%,13%,31%,31%,29%,29%,%,
Challenges in School,Poor evaluation or grading of students,Minor,14%,52%,29%,31%,38%,38%,%,
Challenges in School,Poor evaluation or grading of students,Not a problem,32%,32%,38%,35%,30%,30%,%,
Challenges in School,Poor evaluation or grading of students,Refuse / no response,10%,3%,3%,2%,4%,4%,%,
Challenges in School,Student use of alcohol or illegal drugs,Major,29%,7%,31%,35%,29%,29%,%,
Challenges in School,Student use of alcohol or illegal drugs,Minor,10%,29%,13%,22%,19%,19%,%,
Challenges in School,Student use of alcohol or illegal drugs,Not a problem,58%,62%,54%,42%,46%,46%,%,
Challenges in School,Student use of alcohol or illegal drugs,Refuse / no response,4%,2%,2%,1%,6%,6%,%,
Challenges in School,Teacher use of alcohol or illegal drugs,Major,30%,28%,36%,42%,36%,36%,%,
Challenges in School,Teacher use of alcohol or illegal drugs,Minor,17%,30%,19%,18%,20%,20%,%,
Challenges in School,Teacher use of alcohol or illegal drugs,Not a problem,48%,41%,43%,37%,39%,39%,%,
Challenges in School,Teacher use of alcohol or illegal drugs,Refuse / no response,5%,2%,2%,3%,5%,5%,%,
Challenges in School,Poor management of the school resources,Major,45%,18%,42%,44%,37%,37%,%,
Challenges in School,Poor management of the school resources,Minor,20%,50%,29%,20%,31%,31%,%,
Challenges in School,Poor management of the school resources,Not a problem,30%,30%,28%,34%,30%,30%,%,
Challenges in School,Poor management of the school resources,Refuse / no response,5%,2%,1%,2%,2%,2%,%,
Challenges in School,Teachers appointed politically and not based on competences,Major,20%,6%,15%,22%,16%,16%,%,
Challenges in School,Teachers appointed politically and not based on competences,Minor,15%,14%,17%,22%,21%,21%,%,
Challenges in School,Teachers appointed politically and not based on competences,Not a problem,56%,77%,66%,54%,58%,58%,%,
Challenges in School,Teachers appointed politically and not based on competences,Refuse / no response,10%,3%,2%,2%,4%,4%,%,
Challenges in School,Political interference in other aspects of school management,Major,19%,5%,12%,18%,15%,15%,%,
Challenges in School,Political interference in other aspects of school management,Minor,13%,17%,21%,25%,24%,24%,%,
Challenges in School,Political interference in other aspects of school management,Not a problem,59%,74%,67%,54%,57%,57%,%,
Challenges in School,Political interference in other aspects of school management,Refuse / no response,9%,5%,1%,3%,5%,5%,%,
Challenges in School,Lack of funding for the school or school funding,Major,63%,32%,66%,45%,47%,47%,%,
Challenges in School,Lack of funding for the school or school funding,Minor,19%,36%,13%,31%,26%,26%,%,
Challenges in School,Lack of funding for the school or school funding,Not a problem,16%,27%,21%,22%,25%,25%,%,
Challenges in School,Lack of funding for the school or school funding,Refuse / no response,2%,5%,0%,2%,2%,2%,%,
Challenges in School,"Conflicts between school stakeholder such as teachers, parents, students, etc?",Major,30%,8%,25%,19%,21%,21%,%,
Challenges in School,"Conflicts between school stakeholder such as teachers, parents, students, etc?",Minor,16%,31%,14%,25%,27%,27%,%,
Challenges in School,"Conflicts between school stakeholder such as teachers, parents, students, etc?",Not a problem,52%,57%,61%,54%,48%,48%,%,
Challenges in School,"Conflicts between school stakeholder such as teachers, parents, students, etc?",Refuse / no response,2%,4%,0%,2%,4%,4%,%,
Challenges in School,Conflicts between the community and the school?,Major,28%,5%,23%,15%,19%,19%,%,
Challenges in School,Conflicts between the community and the school?,Minor,17%,33%,14%,26%,24%,24%,%,
Challenges in School,Conflicts between the community and the school?,Not a problem,54%,59%,62%,57%,54%,54%,%,
Challenges in School,Conflicts between the community and the school?,Refuse / no response,2%,3%,2%,2%,3%,3%,%,
Challenges in School,Are there any other problems not mentioned here that schools face?,No,78%,84%,93%,95%,84%,84%,%,
Challenges in School,Are there any other problems not mentioned here that schools face?,"Yes - if yes, specify",10%,9%,4%,5%,12%,12%,%,
Challenges in School,Are there any other problems not mentioned here that schools face?,Refuse / no response,13%,7%,3%,0%,4%,4%,%,
Challenges in School,Most important factor that influence student grades,payment in money,2%,4%,11%,8%,8%,8%,%,
Challenges in School,Most important factor that influence student grades,political affiliation,1%,0%,0%,0%,0%,0%,%,
Challenges in School,Most important factor that influence student grades,payment in kind,1%,0%,2%,2%,2%,2%,%,
Challenges in School,Most important factor that influence student grades,students work,42%,39%,42%,39%,45%,45%,%,
Challenges in School,Most important factor that influence student grades,parental involvement,10%,4%,11%,11%,9%,9%,%,
Challenges in School,Most important factor that influence student grades,good teachers,35%,42%,24%,29%,26%,26%,%,
Challenges in School,Most important factor that influence student grades,good educational program,7%,3%,7%,7%,6%,6%,%,
Challenges in School,Most important factor that influence student grades,Other,2%,3%,1%,3%,2%,2%,%,
Challenges in School,Most important factor that influence student grades,Refuse / no response,0%,5%,2%,1%,2%,2%,%,
Challenges in School,Other important factors that influence student grades,Payment in cash,13%,19%,26%,7%,16%,16%,%,
Challenges in School,Other important factors that influence student grades,Political affiliation,2%,6%,6%,5%,4%,4%,%,
Challenges in School,Other important factors that influence student grades,Payment in kind,7%,14%,31%,8%,10%,10%,%,
Challenges in School,Other important factors that influence student grades,Students work,89%,68%,61%,68%,66%,66%,%,
Challenges in School,Other important factors that influence student grades,Parental involvement,71%,58%,60%,65%,61%,61%,%,
Challenges in School,Other important factors that influence student grades,Good teachers,89%,71%,75%,70%,68%,68%,%,
Challenges in School,Other important factors that influence student grades,Good educational program,62%,34%,37%,27%,37%,37%,%,
Challenges in School,Other important factors that influence student grades,Other,9%,8%,3%,5%,4%,4%,%,
Challenges in School,Other important factors that influence student grades,Refuse / no response,1%,5%,2%,1%,1%,1%,%,
Security in School,Rank security of students at school,Not safe at all,3%,1%,0%,3%,3%,3%,%,
Security in School,Rank security of students at school,Not very safe,9%,6%,2%,6%,9%,9%,%,
Security in School,Rank security of students at school,Neither safe or unsafe,8%,8%,14%,9%,12%,12%,%,
Security in School,Rank security of students at school,Safe,51%,75%,65%,69%,66%,66%,%,
Security in School,Rank security of students at school,Very Safe,28%,9%,17%,13%,8%,8%,%,
Security in School,Rank security of students at school,Refuse / no response,2%,1%,1%,0%,2%,2%,%,
Security in School,Main factors that make it unsafe for students who are attending schools,Presence of ex-combatants,17%,6%,0%,8%,2%,2%,%,
Security in School,Main factors that make it unsafe for students who are attending schools,Ethnic violence,67%,6%,0%,16%,9%,9%,%,
Security in School,Main factors that make it unsafe for students who are attending schools,Drunk people,27%,33%,50%,48%,51%,51%,%,
Security in School,Main factors that make it unsafe for students who are attending schools,"Crimes, robberies",37%,33%,83%,84%,52%,52%,%,
Security in School,Main factors that make it unsafe for students who are attending schools,Other,20%,56%,17%,16%,24%,24%,%,
Security in School,Main factors that make it unsafe for students who are attending schools,Refuse / no response,3%,6%,0%,0%,4%,4%,%,
Security in School,What should be done to improve security in schools?,Child rights sensitization,39%,27%,14%,17%,22%,22%,%,
Security in School,What should be done to improve security in schools?,Ensure community and school vigilance,65%,47%,32%,31%,39%,39%,%,
Security in School,What should be done to improve security in schools?,Life skills,39%,27%,32%,21%,28%,28%,%,
Security in School,What should be done to improve security in schools?,Fencing of the school,92%,45%,66%,79%,58%,58%,%,
Security in School,What should be done to improve security in schools?,Child protection clubs,34%,25%,24%,21%,24%,24%,%,
Security in School,What should be done to improve security in schools?,Other,10%,12%,3%,10%,6%,6%,%,
Security in School,What should be done to improve security in schools?,Refuse / no response,1%,9%,7%,1%,8%,8%,%,
Participation in Education,Language literacy (read and write),None,67%,29%,14%,4%,12%,12%,%,
Participation in Education,Language literacy (read and write),Swahili,2%,3%,10%,3%,8%,8%,%,
Participation in Education,Language literacy (read and write),English,23%,39%,58%,39%,47%,47%,%,
Participation in Education,Language literacy (read and write),Other,30%,48%,45%,91%,65%,65%,%,
Participation in Education,Language literacy (read and write),Refuse / no response,0%,1%,1%,0%,0%,0%,%,
Participation in Education,Highest level of formal education,No school,65%,20%,11%,26%,19%,19%,%,
Participation in Education,Highest level of formal education,"Some primary school (p1-p6, not p7)",22%,42%,43%,32%,33%,33%,%,
Participation in Education,Highest level of formal education,Completed primary school (p7),3%,10%,12%,9%,14%,14%,%,
Participation in Education,Highest level of formal education,Vocational school (certificate),0%,6%,1%,2%,2%,2%,%,
Participation in Education,Highest level of formal education,"Some secondary school (s1-s3, not s4)",5%,12%,20%,18%,17%,17%,%,
Participation in Education,Highest level of formal education,"Completed secondary school, “o” level",4%,4%,8%,8%,9%,9%,%,
Participation in Education,Highest level of formal education,Completed advance level or “a” level,0%,3%,2%,4%,4%,4%,%,
Participation in Education,Highest level of formal education,Some university (not completed),0%,0%,2%,0%,1%,1%,%,
Participation in Education,Highest level of formal education,Completed university or higher,1%,1%,2%,1%,2%,2%,%,
Participation in Education,Currently enrolled in any formal education,Currently enrolled in any formal education (% yes),45%,29%,12%,21%,21%,21%,%,
Participation in Education,Type of school currently enrolled,Public school,88%,75%,71%,55%,67%,67%,%,
Participation in Education,Type of school currently enrolled,Religious / parochial school,10%,9%,7%,2%,2%,2%,%,
Participation in Education,Type of school currently enrolled,Private non-religious,0%,12%,11%,36%,24%,24%,%,
Participation in Education,Type of school currently enrolled,Informal school  (home school),0%,0%,4%,0%,0%,0%,%,
Participation in Education,Type of school currently enrolled,Vocational school,0%,5%,7%,5%,6%,6%,%,
Participation in Education,Type of school currently enrolled,Other,2%,0%,0%,2%,1%,1%,%,
Participation in Education,School level currently enrolled,P1,0%,0%,0%,0%,0%,0%,%,
Participation in Education,School level currently enrolled,P2,10%,0%,4%,0%,1%,1%,%,
Participation in Education,School level currently enrolled,P3,10%,0%,0%,0%,1%,1%,%,
Participation in Education,School level currently enrolled,P4,7%,3%,4%,0%,2%,2%,%,
Participation in Education,School level currently enrolled,P5,17%,14%,11%,2%,6%,6%,%,
Participation in Education,School level currently enrolled,P6,20%,17%,4%,7%,11%,11%,%,
Participation in Education,School level currently enrolled,P7,15%,22%,7%,7%,8%,8%,%,
Participation in Education,School level currently enrolled,S1,7%,7%,29%,10%,17%,17%,%,
Participation in Education,School level currently enrolled,S2,7%,7%,11%,17%,14%,14%,%,
Participation in Education,School level currently enrolled,S3,0%,10%,11%,24%,15%,15%,%,
Participation in Education,School level currently enrolled,S4,5%,3%,4%,14%,11%,11%,%,
Participation in Education,School level currently enrolled,S5,0%,3%,4%,7%,4%,4%,%,
Participation in Education,School level currently enrolled,S6,0%,7%,0%,5%,4%,4%,%,
Participation in Education,School level currently enrolled,Vocational,0%,5%,7%,5%,5%,5%,%,
Participation in Education,School level currently enrolled,University,0%,0%,0%,0%,2%,2%,%,
Participation in Education,School level currently enrolled,Other,2%,2%,4%,2%,0%,0%,%,
Participation in Education,Plan to finish current education cycle,Plan to finish current education cycle (% yes),98%,97%,93%,91%,95%,95%,%,
Participation in Education,Why do you not plan to finish current education cycle?,The lack of fee for school,0%,100%,100%,100%,100%,100%,%,
Participation in Education,Why do you not plan to finish current education cycle?,Lack of scholastic materials,0%,0%,0%,0%,0%,0%,%,
Participation in Education,Why do you not plan to finish current education cycle?,Have to look after my siblings/parents,100%,0%,0%,0%,0%,0%,%,
Participation in Education,Why do you not plan to finish current education cycle?,Have to start generating income,0%,0%,0%,0%,0%,0%,%,
Participation in Education,Why do you not plan to finish current education cycle?,Lost interest in education,0%,0%,0%,0%,0%,0%,%,
Participation in Education,Why do you not plan to finish current education cycle?,Other,0%,0%,0%,0%,0%,0%,%,
Participation in Education,Plan to continue education to the next level,Plan to continue education to the next level (% yes),95%,100%,86%,93%,94%,94%,%,
Participation in Education,Have children of school-going age,Have children of school-going age (% yes),78%,77%,82%,87%,74%,74%,%,
Participation in Education,Children attending school regularly,Children attending school regularly (% yes),87%,93%,93%,91%,89%,89%,%,
Participation in Education,Why are they not attending school regularly?,The  lack of  fee for school,16%,63%,30%,69%,55%,55%,%,
Participation in Education,Why are they not attending school regularly?,Work (paid work) out of the household,11%,13%,10%,0%,0%,0%,%,
Participation in Education,Why are they not attending school regularly?,Work within the household / assist relatives,11%,0%,0%,0%,4%,4%,%,
Participation in Education,Why are they not attending school regularly?,Children not interested in education,5%,0%,0%,0%,2%,2%,%,
Participation in Education,Why are they not attending school regularly?,Education not useful for children’s future,5%,0%,0%,0%,0%,0%,%,
Participation in Education,Why are they not attending school regularly?,Illness,5%,13%,0%,0%,6%,6%,%,
Participation in Education,Why are they not attending school regularly?,Marriage / pregnancy,11%,0%,0%,8%,8%,8%,%,
Participation in Education,Why are they not attending school regularly?,School is far,16%,0%,50%,8%,6%,6%,%,
Participation in Education,Why are they not attending school regularly?,School is located in an insecure area,0%,0%,0%,0%,0%,0%,%,
Participation in Education,Why are they not attending school regularly?,Lack of teachers,5%,0%,0%,0%,2%,2%,%,
Participation in Education,Why are they not attending school regularly?,Lack of classrooms,0%,13%,10%,8%,0%,0%,%,
Participation in Education,Why are they not attending school regularly?,Lack of safe water,0%,0%,0%,0%,0%,0%,%,
Participation in Education,Why are they not attending school regularly?,Lack of sanitation facilities,5%,0%,0%,0%,0%,0%,%,
Participation in Education,Why are they not attending school regularly?,Other,11%,0%,0%,8%,12%,12%,%,
Participation in Education,Type of school(s) respondent's children attending,Government (Public) school,95%,84%,97%,77%,76%,76%,%,
Participation in Education,Type of school(s) respondent's children attending,Religious / parochial school,3%,14%,3%,1%,3%,3%,%,
Participation in Education,Type of school(s) respondent's children attending,Private non-religious School,2%,21%,7%,33%,30%,30%,%,
Participation in Education,Type of school(s) respondent's children attending,NGO sponsored school,1%,1%,0%,0%,1%,1%,%,
Participation in Education,Type of school(s) respondent's children attending,Other,2%,2%,0%,1%,1%,1%,%,
Participation in Education,Level of education respondent's children attending,P1,33%,47%,62%,55%,48%,48%,%,
Participation in Education,Level of education respondent's children attending,P2,37%,34%,42%,25%,33%,33%,%,
Participation in Education,Level of education respondent's children attending,P3,36%,40%,46%,30%,31%,31%,%,
Participation in Education,Level of education respondent's children attending,P4,29%,30%,31%,19%,33%,33%,%,
Participation in Education,Level of education respondent's children attending,P5,21%,35%,29%,22%,29%,29%,%,
Participation in Education,Level of education respondent's children attending,P6,17%,24%,15%,16%,26%,26%,%,
Participation in Education,Level of education respondent's children attending,P7,10%,10%,13%,19%,17%,17%,%,
Participation in Education,Level of education respondent's children attending,S1,5%,7%,7%,10%,14%,14%,%,
Participation in Education,Level of education respondent's children attending,S2,5%,9%,3%,11%,8%,8%,%,
Participation in Education,Level of education respondent's children attending,S3,6%,10%,4%,9%,7%,7%,%,
Participation in Education,Level of education respondent's children attending,S4,6%,3%,4%,9%,6%,6%,%,
Participation in Education,Level of education respondent's children attending,S5,0%,3%,3%,4%,2%,2%,%,
Participation in Education,Level of education respondent's children attending,S6,0%,4%,2%,4%,3%,3%,%,
Participation in Education,Level of education respondent's children attending,Refuse / no response,1%,2%,1%,0%,1%,1%,%,
Parent-Community Relationship,Student Teacher Parent Relationship Index,Mean average,73%,70%,75%,73%,68%,68%,%,
Parent-Community Relationship,Community Student Teacher Parent Relationship Index,Mean average,69%,70%,74%,75%,70%,70%,%,
Parent-Community Relationship,Frequency respondent's parents/guardians meet with teachers,More than once a month,29%,24%,4%,21%,22%,22%,%,
Parent-Community Relationship,Frequency respondent's parents/guardians meet with teachers,Once a month,34%,22%,18%,26%,19%,19%,%,
Parent-Community Relationship,Frequency respondent's parents/guardians meet with teachers,A few times a year,22%,36%,46%,43%,28%,28%,%,
Parent-Community Relationship,Frequency respondent's parents/guardians meet with teachers,Once a year or less,0%,10%,4%,0%,9%,9%,%,
Parent-Community Relationship,Frequency respondent's parents/guardians meet with teachers,Never,15%,5%,25%,10%,19%,19%,%,
Parent-Community Relationship,Frequency respondent's parents/guardians meet with teachers,Refuse / no response,0%,3%,4%,0%,2%,2%,%,
Parent-Community Relationship,Type school meetings parents attended,Open days,51%,14%,0%,40%,32%,32%,%,
Parent-Community Relationship,Type school meetings parents attended,Extra-curricular activities,23%,23%,19%,13%,14%,14%,%,
Parent-Community Relationship,Type school meetings parents attended,Parent-teacher Association (PTA),86%,71%,81%,58%,55%,55%,%,
Parent-Community Relationship,Type school meetings parents attended,Parent-teacher meeting,83%,55%,43%,53%,64%,64%,%,
Parent-Community Relationship,Type school meetings parents attended,School management committee,9%,38%,5%,13%,16%,16%,%,
Parent-Community Relationship,Type school meetings parents attended,Other,6%,4%,0%,0%,4%,4%,%,
Parent-Community Relationship,Type school meetings parents attended,Refuse / no response,0%,4%,5%,0%,4%,4%,%,
Parent-Community Relationship,Frequency respondent meet with their children's teacher,More than once a month,36%,29%,18%,28%,24%,24%,%,
Parent-Community Relationship,Frequency respondent meet with their children's teacher,Once a month,22%,30%,26%,47%,30%,30%,%,
Parent-Community Relationship,Frequency respondent meet with their children's teacher,A few times a year,26%,36%,38%,15%,27%,27%,%,
Parent-Community Relationship,Frequency respondent meet with their children's teacher,Once a year or less,4%,1%,6%,4%,7%,7%,%,
Parent-Community Relationship,Frequency respondent meet with their children's teacher,Never,12%,4%,11%,7%,11%,11%,%,
Parent-Community Relationship,Frequency respondent meet with their children's teacher,Refuse / no response,0%,0%,2%,0%,1%,1%,%,
Parent-Community Relationship,Type of School meetings respondent attended,Open days,37%,20%,5%,37%,36%,36%,%,
Parent-Community Relationship,Type of School meetings respondent attended,Extra-curricular activities,15%,18%,4%,8%,14%,14%,%,
Parent-Community Relationship,Type of School meetings respondent attended,Parent-teacher Association (PTA),53%,74%,85%,42%,54%,54%,%,
Parent-Community Relationship,Type of School meetings respondent attended,Parent-teacher meeting,59%,57%,57%,71%,58%,58%,%,
Parent-Community Relationship,Type of School meetings respondent attended,School management committee,8%,18%,12%,4%,11%,11%,%,
Parent-Community Relationship,Type of School meetings respondent attended,Other,12%,8%,1%,4%,5%,5%,%,
Parent-Community Relationship,Type of School meetings respondent attended,Refuse / no response,7%,1%,3%,2%,3%,3%,%,
Parent-Community Relationship,How much would community members are involved in the functioning and management of the school?,Not at all,6%,5%,7%,6%,7%,7%,%,
Parent-Community Relationship,How much would community members are involved in the functioning and management of the school?,A little,23%,39%,20%,24%,27%,27%,%,
Parent-Community Relationship,How much would community members are involved in the functioning and management of the school?,Somewhat,29%,24%,29%,23%,33%,33%,%,
Parent-Community Relationship,How much would community members are involved in the functioning and management of the school?,A lot,37%,23%,36%,41%,28%,28%,%,
Parent-Community Relationship,How much would community members are involved in the functioning and management of the school?,Extremely,4%,6%,5%,5%,4%,4%,%,
Parent-Community Relationship,How much would community members are involved in the functioning and management of the school?,Refuse / no response,2%,2%,2%,1%,1%,1%,%,
Parent-Community Relationship,How are community members involved?,Participate in school management bodies,65%,52%,22%,29%,37%,37%,%,
Parent-Community Relationship,How are community members involved?,Financing,57%,53%,44%,77%,55%,55%,%,
Parent-Community Relationship,How are community members involved?,Support school garden,40%,36%,35%,23%,25%,25%,%,
Parent-Community Relationship,How are community members involved?,Contribute time / volunteer,52%,62%,65%,29%,46%,46%,%,
Parent-Community Relationship,How are community members involved?,Other,27%,11%,7%,7%,10%,10%,%,
Parent-Community Relationship,How are community members involved?,Refuse / no response,3%,4%,3%,5%,5%,5%,%,
Social Cohesion,Overall Social Cohesion Index,Mean average,68%,67%,71%,67%,67%,67%,%,
Social Cohesion,Factor 1: Inclusion and Access to Service ,Mean average,70%,65%,66%,66%,67%,67%,%,
Social Cohesion,Factor 2: Social Relationships,Mean average,80%,78%,81%,85%,80%,80%,%,
Social Cohesion,Factor 3: Civic Participation,Mean average,45%,36%,47%,47%,44%,44%,%,
Social Cohesion,Factor 4: Trust,Mean average,62%,60%,63%,56%,53%,53%,%,
Social Cohesion,Factor 5: Nonviolence Conflict Resolution,Mean average,82%,94%,96%,82%,89%,89%,%,
Resilence,"Pyschological Resilency
",Connor Davidson Resilence Scale (Mean),29.0,33.6,32.8,34.9,33.0,33.0,,
Resilence,"Pyschological Resilency
",Rosenberg Self-Esteem Scale (Mean),23.2,21.8,21.0,21.0,22.2,22.0,,
Resilence,Resilence Outcome,Completed Primary School or Currently Enrolled in School,24%,46%,49%,43%,52%,46%,%,
Resilence,Degree of control over financial situation,No control at all,6%,26%,19%,12%,12%,12%,%,
Resilence,Degree of control over financial situation,A little bit of control,9%,22%,21%,11%,21%,21%,%,
Resilence,Degree of control over financial situation,Moderate level of control,18%,10%,11%,13%,15%,15%,%,
Resilence,Degree of control over financial situation,Quite a bit of control,22%,4%,14%,15%,12%,12%,%,
Resilence,Degree of control over financial situation,A lot of control,42%,34%,32%,47%,38%,38%,%,
Resilence,Degree of control over financial situation,Refuse / no response,3%,5%,2%,2%,2%,2%,%,
Resilence,Degree of control over life in general,No control at all,3%,7%,3%,5%,2%,2%,%,
Resilence,Degree of control over life in general,A little bit of control,5%,13%,9%,2%,9%,9%,%,
Resilence,Degree of control over life in general,Moderate level of control,12%,9%,22%,7%,13%,13%,%,
Resilence,Degree of control over life in general,Quite a bit of control,14%,9%,20%,10%,16%,16%,%,
Resilence,Degree of control over life in general,A lot of control,65%,61%,45%,77%,58%,58%,%,
Resilence,Degree of control over life in general,Refuse / no response,1%,2%,1%,0%,1%,1%,%,
Resilence,Which of the following statements do you most agree with?,Each person is responsible for their own success/failure,68%,73%,78%,66%,68%,68%,%,
Resilence,Which of the following statements do you most agree with?,Each person's future is a matter of destiny,26%,18%,21%,33%,29%,29%,%,
Resilence,Which of the following statements do you most agree with?,Refuse / no response,6%,8%,2%,2%,3%,3%,%,
Resilence,"""You are able to manage challenges well.""",Strongly disagree,5%,5%,5%,6%,4%,4%,%,
Resilence,"""You are able to manage challenges well.""",Disagree,18%,13%,7%,8%,10%,10%,%,
Resilence,"""You are able to manage challenges well.""",Neither agree or disagree,37%,15%,12%,8%,18%,18%,%,
Resilence,"""You are able to manage challenges well.""",Agree,30%,39%,62%,51%,48%,48%,%,
Resilence,"""You are able to manage challenges well.""",Strongly agree,5%,18%,10%,23%,15%,15%,%,
Resilence,"""You are able to manage challenges well.""",Refuse / no response,6%,10%,4%,3%,4%,4%,%,
Respondent Characteristics,Sex of the respondent,Male,51%,50%,51%,49%,50%,50%,%,
Respondent Characteristics,Sex of the respondent,Female,49%,50%,49%,51%,50%,50%,%,
Respondent Characteristics,Age,Mean average, 29.96 , 30.43 , 34.39 , 35.51 , 32.83 , 32.83 ,,
Respondent Characteristics,Marital Status,"Single, never married",33%,37%,19%,28%,33%,33%,%,
Respondent Characteristics,Marital Status,Married (monogamous),33%,26%,49%,53%,46%,46%,%,
Respondent Characteristics,Marital Status,Married (polygamous),29%,14%,24%,5%,8%,8%,%,
Respondent Characteristics,Marital Status,Partner/Living together,0%,13%,2%,3%,3%,3%,%,
Respondent Characteristics,Marital Status,Divorced/Separated,0%,5%,5%,5%,5%,5%,%,
Respondent Characteristics,Marital Status,Widowed,5%,6%,3%,6%,5%,5%,%,
Respondent Characteristics,Marital Status,Refuse / no response,0%,0%,0%,0%,0%,0%,%,
Respondent Characteristics,Main source of information,Radio,29%,75%,82%,86%,78%,78%,%,
Respondent Characteristics,Main source of information,Newspapers,1%,1%,0%,1%,1%,1%,%,
Respondent Characteristics,Main source of information,Television,1%,0%,0%,2%,4%,4%,%,
Respondent Characteristics,Main source of information,"Friends, Family",20%,7%,7%,7%,8%,8%,%,
Respondent Characteristics,Main source of information,Religious leaders,0%,0%,0%,0%,1%,1%,%,
Respondent Characteristics,Main source of information,Local leaders / authorities,39%,11%,7%,2%,6%,6%,%,
Respondent Characteristics,Main source of information,"NGOs, civil society",1%,0%,0%,0%,0%,0%,%,
Respondent Characteristics,Main source of information,Other,7%,4%,3%,1%,3%,3%,%,
Respondent Characteristics,Main source of information,Refuse / no response,2%,2%,0%,0%,0%,0%,%,
Respondent Characteristics,Head of the Household,Head of the Household (% yes),41%,48%,46%,62%,49%,49%,%,
Respondent Characteristics,Main source of livelihood (cash and in kind),Consumption of own production,49%,56%,68%,45%,35%,35%,%,
Respondent Characteristics,Main source of livelihood (cash and in kind),Sale of agricultural production,8%,22%,14%,32%,32%,32%,%,
Respondent Characteristics,Main source of livelihood (cash and in kind),Casual / Day labor income,26%,8%,5%,4%,11%,11%,%,
Respondent Characteristics,Main source of livelihood (cash and in kind),Skilled labor income,2%,4%,3%,2%,3%,3%,%,
Respondent Characteristics,Main source of livelihood (cash and in kind),Handicraft,7%,0%,1%,3%,1%,1%,%,
Respondent Characteristics,Main source of livelihood (cash and in kind),Fishing income or in kind,0%,0%,1%,0%,1%,1%,%,
Respondent Characteristics,Main source of livelihood (cash and in kind),Hunting income or in-kind,1%,0%,0%,0%,0%,0%,%,
Respondent Characteristics,Main source of livelihood (cash and in kind),Business / Seller income,5%,4%,0%,7%,8%,8%,%,
Respondent Characteristics,Main source of livelihood (cash and in kind),Teacher income,0%,3%,3%,1%,2%,2%,%,
Respondent Characteristics,Main source of livelihood (cash and in kind),Other government employee income,0%,0%,1%,0%,1%,1%,%,
Respondent Characteristics,Main source of livelihood (cash and in kind),Private company employee income,0%,0%,0%,2%,1%,1%,%,
Respondent Characteristics,Main source of livelihood (cash and in kind),"Gift, aid, assistance from family friends",1%,0%,1%,1%,0%,0%,%,
Respondent Characteristics,Main source of livelihood (cash and in kind),Support from NGOs/UN/church/charity,0%,0%,0%,1%,0%,0%,%,
Respondent Characteristics,Main source of livelihood (cash and in kind),Begging (ask money to others in the street),0%,0%,0%,0%,0%,0%,%,
Respondent Characteristics,Main source of livelihood (cash and in kind),Other,0%,0%,2%,1%,2%,2%,%,
Respondent Characteristics,Main source of livelihood (cash and in kind),Refuse / no response,0%,2%,1%,0%,1%,1%,%,
Respondent Characteristics,Main occupation,Farming,32%,58%,58%,56%,49%,49%,%,
Respondent Characteristics,Main occupation,Own Livestock,4%,1%,0%,0%,1%,1%,%,
Respondent Characteristics,Main occupation,Petty Trade/Seller,7%,5%,2%,2%,3%,3%,%,
Respondent Characteristics,Main occupation,Casual Labor agriculture,4%,5%,3%,9%,7%,7%,%,
Respondent Characteristics,Main occupation,Casual labor non agriculture,13%,4%,3%,5%,7%,7%,%,
Respondent Characteristics,Main occupation,Paid housework and child care,2%,0%,0%,0%,0%,0%,%,
Respondent Characteristics,Main occupation,Fishing,0%,0%,0%,0%,1%,1%,%,
Respondent Characteristics,Main occupation,Trade / business owner,1%,2%,1%,4%,4%,4%,%,
Respondent Characteristics,Main occupation,Teacher,0%,2%,2%,1%,2%,2%,%,
Respondent Characteristics,Main occupation,Other government employee,0%,1%,1%,1%,1%,1%,%,
Respondent Characteristics,Main occupation,Private business employee,1%,0%,1%,3%,2%,2%,%,
Respondent Characteristics,Main occupation,NGO employee,0%,0%,0%,0%,0%,0%,%,
Respondent Characteristics,Main occupation,Student,13%,9%,7%,10%,10%,10%,%,
Respondent Characteristics,Main occupation,Housewife,16%,11%,10%,8%,8%,8%,%,
Respondent Characteristics,Main occupation,Retired / disabled,1%,0%,1%,0%,0%,0%,%,
Respondent Characteristics,Main occupation,Unemployed,2%,3%,12%,1%,4%,4%,%,
Respondent Characteristics,Main occupation,Other,5%,0%,0%,1%,1%,1%,%,
Respondent Characteristics,Household Material Assets,Mean average,2.45,5.17,5.71,5.36,5.28,5.28,,
